NAME,INDEX,KEYWORD,S,L,X_BMAD,Z,PX,PZ,BETX_BMAD,BETY_BMAD,DX_BMAD,BETX_MADX,BETY_MADX,DX_MADX,X_MADX
QFG2.2,94,Quadrupole,488.39839163655665,2.9,3.4399641690460473e-09,-1.5958310119375453e-08,-8.810393065169943e-11,-0.00012817987884222693,96.10900710935553,17.12481952622094,0.18098651088166798,95.9444324770664,18.361570403798147,0.18101833961947378,-2.7064130455549412e-11
BG1.3,96,Sbend,512.203492453559,23.505100817002,1.864255003841686e-09,-1.596424326066881e-08,-4.370308123977715e-11,-0.00014554249484210972,22.14903736145547,79.6792509342792,0.09807948251092274,22.14848890980739,83.00803703299859,0.09809218592800979,-1.4389119427831516e-11
QDG1.2,98,Quadrupole,517.5034924535589,1.8,1.7072397264745095e-09,-1.5964249839138762e-08,3.919082779207304e-11,-0.00014554249484211,17.878417034523864,95.90343302040708,0.08978967808631994,17.89711119115196,99.17040819667844,0.08979876527292113,-1.2840835888991802e-11
BG1.4,100,Sbend,541.308593270561,23.505100817002,3.162166969244984e-09,-1.5969725097875198e-08,8.358598611590327e-11,-0.00016290390490067934,79.90033907055492,23.84153517173986,0.16606247161763832,80.06327390033101,22.892419172958547,0.16606898428978312,-2.1367370939555548e-11
SF1.3,102,Sextupole,543.0085932705608,1.4,3.304286518745401e-09,-1.5969727459724785e-08,8.358598578279068e-11,-0.00016290390490067934,87.31867739615025,21.511361955521426,0.17351190639920364,87.49467661600339,20.468768302954423,0.17351826838431944,-2.220359592937108e-11
SF1.4,104,Sextupole,544.5085932705607,1.4,3.4296859252297597e-09,-1.5969729543706465e-08,8.358598542344996e-11,-0.00016290390490067934,94.19516692961278,19.767070885337116,0.18008492678568175,94.38301323456784,18.66498988987841,0.18009116611517753,-2.2941441508644715e-11
QFG2.3,106,Quadrupole,547.7085932705606,2.9,3.4481677148510326e-09,-1.59697339895275e-08,-8.808147911014312e-11,-0.0001629039049006801,95.61520726591773,19.665345251487278,0.18103169414475226,95.80154686022577,18.33582408418921,0.1810375053561228,-2.2855744366948142e-11
BG1.5,108,Sbend,571.5136940875627,23.505100817002,1.87285865288489e-09,-1.5975690104141904e-08,-4.368749825023275e-11,-0.00018026410916451062,22.14968479420291,86.5858563400361,0.09808758892116608,22.158172918039252,82.83253716236351,0.09809440556114654,-1.0465892462875224e-11
SD1.1,110,Sextupole,573.2136940875625,1.4,1.798576401843671e-09,-1.597569271775018e-08,-4.368749523999428e-11,-0.00018026410916451062,19.88693967068021,94.3367483598708,0.09416661434818901,19.888334117556127,90.45777868842981,0.09417367124082421,-9.80840254144578e-12
SD1.2,112,Sextupole,574.7136940875624,1.4,1.7330333459499324e-09,-1.5975695023871535e-08,-4.368749244155891e-11,-0.00018026410916451062,18.22070460410912,101.50475529052328,0.09070693677831387,18.21646999983945,97.52018496215901,0.0907141997790772,-9.228264375341043e-12
QDG1.3,114,Quadrupole,576.8136940875622,1.8,1.7163016215760348e-09,-1.5975698252440237e-08,3.963308110654945e-11,-0.0001802641091645109,17.93418670960364,102.74733552350388,0.0897896081708447,17.922197469480125,98.97236971191032,0.08979740528247637,-8.80945295977034e-12
BG1.6,116,Sbend,600.6187949045644,23.505100817002,3.181728110146498e-09,-1.598120746848508e-08,8.40213655813423e-11,-0.0001976231077801504,80.33956301832653,22.05811133495979,0.16602683291839404,80.20105841644838,22.892862659166582,0.16605174156360974,-1.3052733275064092e-11
QFG2.4,118,Quadrupole,607.0187949045643,2.9,3.469018685596275e-09,-1.5981218255746288e-08,-8.868325768838675e-11,-0.00019762310778015117,96.10899659345039,17.12472930819795,0.18098947325259576,95.95109533012354,18.362845825584557,0.18101766586239038,-1.403175724965843e-11
BG1.7,120,Sbend,630.8238957215664,23.505100817002,1.879244298369498e-09,-1.5987204449174897e-08,-4.429613287788968e-11,-0.0002149809008941234,22.14902714525086,79.68013526150233,0.09805899685575083,22.150026887575383,83.01380138102712,0.0980838601809671,-7.878777487297154e-12
QDG1.4,122,Quadrupole,636.1238957215662,1.8,1.719624817238639e-09,-1.5987214167247193e-08,3.920516540276086e-11,-0.00021498090089412368,17.878408896899426,95.90457133788298,0.08976288549661963,17.898353985003013,99.17729469037525,0.08978875716723192,-7.543852650945138e-12
BG1.8,124,Sbend,659.9289965385683,23.505100817002,3.1748296630551565e-09,-1.5992718260804395e-08,8.358658779840892e-11,-0.00023233748865292557,79.90034315604252,23.841798791639057,0.16598294705750982,80.0688340202091,22.894008605500748,0.16604410167652506,-1.6328857715664196e-11
QFG2.5,126,Quadrupole,666.3289965385682,2.9,3.4599775718939446e-09,-1.599273094360837e-08,-8.86780744536821e-11,-0.00023233748865292633,95.61521857226322,19.665436123590645,0.1809442905771309,95.80819991923352,18.337097164175322,0.1810110706067872,-1.8238073410865223e-11
BG1.9,128,Sbend,690.1340973555702,23.505100817002,1.8701862801451252e-09,-1.5998697477925816e-08,-4.429870885316211e-11,-0.0002496928712030307,22.149695071993197,86.58497753514591,0.09805088102451938,22.15971169334132,82.83828908650747,0.09808845208724253,-1.1800893518568178e-11
SD1.3,130,Sextupole,691.8340973555701,1.4,1.794859551329028e-09,-1.5998701098542464e-08,-4.429870585391335e-11,-0.0002496928712030307,19.886949125405042,94.33576136616678,0.09413352676764913,19.889715251132138,90.46406012316471,0.09416931948115485,-1.15684812342805e-11
SD1.4,132,Sextupole,693.33409735557,1.4,1.7283948988164067e-09,-1.5998704293199232e-08,-4.4298703068982894e-11,-0.0002496928712030307,18.220713250352816,101.50366852832921,0.09067704358820369,18.21773501672662,97.5269568239928,0.09071126129620538,-1.1363411571482987e-11
QDG1.5,134,Quadrupole,695.4340973555699,1.8,1.710143027005113e-09,-1.5998708765717466e-08,3.8749831158471567e-11,-0.00024969287120303103,17.93419481385688,102.74620394301562,0.0897629477379418,17.923442022746237,98.97924242781923,0.08979635271328985,-1.1574222334191019e-11
BG1.10,136,Sbend,719.239198172572,23.505100817002,3.154469973426499e-09,-1.6004172209704848e-08,8.312394544993239e-11,-0.000267047048690884,80.33955945618354,22.05784852433477,0.1660185885387237,80.20662657568201,22.89445245904268,0.1660728755449834,-2.4641634074381972e-11
FG.2,138,Marker,719.239198172572,0.0,3.154470193759546e-09,-1.6004172209710883e-08,8.312394544993239e-11,-0.000267047048690884,80.3395707604439,22.057844256568426,0.16601860014892625,80.20662657568201,22.89445245904268,0.1660728755449834,-2.4641634074381972e-11
SF2.1,140,Sextupole,720.9391981725718,1.4,3.2958186472360954e-09,-1.6004176082066857e-08,8.312394474508437e-11,-0.000267047048690884,87.79112348651819,19.535955934483226,0.1734667982031894,87.64753072749053,20.478091284300987,0.1735228183767125,-2.5802104038357658e-11
SF2.2,142,Sextupole,722.4391981725717,1.4,3.4205378697402898e-09,-1.600417949885154e-08,8.312394398490405e-11,-0.000267047048690884,94.6975764970751,17.66947567195539,0.18003873754161204,94.54437766358248,18.68002454492124,0.18009629734683602,-2.6826048124289256e-11
QFG2.6,144,Quadrupole,725.6391981725716,2.9,3.4382534915262444e-09,-1.6004186787985743e-08,-8.804825335760388e-11,-0.0002670470486908848,96.10898515451204,17.12463914095105,0.18098651603067917,95.95775679050197,18.36412099029023,0.18104348048730184,-2.7060031254605414e-11
BG1.11,146,Sbend,749.4442989895737,23.505100817002,1.8633161506798057e-09,-1.601011945240316e-08,-4.367621420798823e-11,-0.00028440002126290835,22.14901435812213,79.68102212239226,0.09807947865651691,22.151564562035762,83.0195645124587,0.0981058085644587,-1.4386905856301666e-11
QDG1.6,148,Quadrupole,754.7442989895735,1.8,1.706373322493589e-09,-1.6010132309859563e-08,3.9164180855294795e-11,-0.00028440002126290867,17.878398528061854,95.9057126727217,0.08978967192347144,17.899596535987925,99.18417972476017,0.08981123584869122,-1.283881160351444e-11
BG1.12,150,Sbend,778.5493998065756,23.505100817002,3.1605276798463144e-09,-1.6015604842323228e-08,8.353053251990329e-11,-0.00030175178906549806,79.90034695797523,23.842062297557604,0.1660624521361458,80.0743929938796,22.895597693978306,0.16609204503795452,-2.1363630563186185e-11
QFG2.7,152,Quadrupole,784.9493998065755,2.9,3.446376990643828e-09,-1.6015621316015553e-08,-8.802399083836575e-11,-0.0003017517890654988,95.61523082366506,19.66552656046732,0.18103167224415664,95.8148515971426,18.338369969708705,0.18106264438523886,-2.2851665353242012e-11
BG1.13,154,Sbend,808.7545006235775,23.505100817002,1.871872205849723e-09,-1.6021573401303613e-08,-4.365926171283889e-11,-0.0003191023522450253,22.149706752628738,86.58409677200055,0.09808757583017363,22.161250136058907,82.8440398199242,0.09810802661278904,-1.0463672607207938e-11
QDG1.7,156,Quadrupole,814.0545006235775,1.8,1.7153930230029047e-09,-1.602158782837039e-08,3.9605681112740085e-11,-0.0003191023522450256,17.934203216548784,102.74507455188974,0.08978959422759537,17.924686311690742,98.98611369590417,0.08980987418059115,-8.807416384777012e-12
BG1.14,158,Sbend,837.8596014405797,23.505100817002,3.18001931731704e-09,-1.602709076564679e-08,8.396427358458648e-11,-0.00033645171094783357,80.3395461040833,22.057597416111086,0.16602680053992266,80.21219363720388,22.89604185034278,0.16607479827279745,-1.3048945767240444e-11
SF2.3,160,Sextupole,839.5596014405795,1.4,3.322806845536651e-09,-1.6027095644929846e-08,8.396427286824739e-11,-0.00033645171094783357,87.79110705261466,19.53575603256792,0.17347369367246815,87.65361420441205,20.47951291964032,0.17352405179397448,-1.3579107036215946e-11
SF2.4,162,Sextupole,841.0596014405794,1.4,3.4487956434635115e-09,-1.602709995017289e-08,8.396427209555882e-11,-0.00033645171094783357,94.69755717457818,17.669319678666913,0.18004447136589244,94.55093979567285,18.68132134480536,0.18009692254845472,-1.4046896391213921e-11
