EL. NUMBER,S,BETX_PYAT,BETY_PYAT,DX_PYAT,DY_PYAT
0,0.0,0.30006824468641136,0.000999727187499787,-2.616241420089414e-07,-1.681427016924434e-06
1,0.0,0.30006824468641136,0.000999727187499787,-2.616241420089414e-07,-1.681427016924434e-06
2,2.2002250210956804,16.43524115024965,4842.845324335322,-3.955629788463867e-06,-1.681427016924434e-06
3,3.4002250210956806,50.61340123238599,8682.808789354012,-6.824555805638006e-06,-3.2485212580933428e-06
4,3.4802250210956807,54.60617722568016,8780.067057856166,-7.084135151813393e-06,-3.2485212580933428e-06
5,4.480225021095681,141.77782160758517,7850.409086799541,-1.1356498319394601e-05,-5.480938694205297e-06
6,4.560225021095681,153.00064634838716,7618.333689035547,-1.1794498756235045e-05,-5.480938694205297e-06
7,5.560225021095681,321.7980660449341,5183.1357880209,-1.707013663091612e-05,-5.055960584379004e-06
8,5.8602250210956806,381.75538201715386,4589.53630628448,-1.858527395717499e-05,-5.055960584379004e-06
9,7.1102250210956806,599.8528897064418,3029.9850878096972,-2.327165956076325e-05,-2.35067900727273e-06
10,7.1902250210956815,609.6380974771188,2973.6105087033934,-2.345949837240717e-05,-2.35067900727273e-06
11,8.440225021095682,672.4770798185561,2535.0507647405793,-2.462257361946248e-05,5.101920543013897e-07
12,8.440225021095682,672.4770798185561,2535.0507647405793,-2.462257361946248e-05,5.101920543013897e-07
13,10.00778344703248,630.456872851988,2481.4803333980217,-2.3823313446623006e-05,5.101920543013897e-07
14,11.00778344703248,605.5970119243863,2442.6618006666367,-2.333721047671851e-05,4.627581014808552e-07
15,12.575341872969279,569.5034761020985,2374.805150769164,-2.2612225684513947e-05,4.627581014808552e-07
16,16.07534187296928,523.0325998446357,2099.55490733408,-2.1624823777449654e-05,1.042776018127426e-07
17,19.075409090553674,509.9670330807296,1778.917811200445,-2.1311576758507015e-05,1.042776018127426e-07
18,22.575409090553674,480.4229848503316,1484.3459416980118,-2.063577130556122e-05,2.808899213295906e-07
19,22.875409090553667,476.71192952044447,1464.1580505960153,-2.0551526965879424e-05,2.808899213295906e-07
20,63.707516665043265,109.37667619958484,7.303928679464894,0.03633140854863279,0.0017801750868757325
21,64.00751666504327,107.68998980791864,6.0843385779184285,0.03686549144912175,0.0017801750868757325
22,67.50751666504327,120.68025615539075,2.0512545932964343,0.04907571756216248,0.005370073219120454
23,67.80751666504327,124.84058133676788,2.6588249771482633,0.05068683150491536,0.005370073219120454
24,68.70607308483619,137.73217060130995,5.412627047541063,0.05555754800028038,0.005470445407494094
25,69.00607308483619,142.18002171494302,6.643873483523148,0.05719877576128578,0.005470445407494094
26,72.50607308483619,158.16424793583582,37.91733942000961,0.06858490573410096,0.0008999425953271666
27,72.80607308483619,156.1959380724848,42.542361192583925,0.06885490390828734,0.0008999425953271666
28,113.63751008468493,13.97572001150321,3196.4496447096276,0.15716436178666537,0.0034253246231669217
29,113.93751008468494,13.85416959564717,3238.1698825920134,0.15819202180845598,0.0034253246231669217
30,117.43751008468494,15.41703450719229,3258.476544992527,0.18188772216475022,0.010274840779588143
31,117.73751008468494,15.820764334434408,3220.0490196209757,0.18497036207179762,0.010274840779588143
32,117.88751008468495,16.028909224455393,3200.9207169163183,0.1865116830885786,0.010274854990685872
33,118.03751008468495,16.241241017392845,3181.8493387663493,0.18805300625302518,0.010274869413664274
34,118.33751008468495,16.67846459156568,3143.877504718695,0.19113565475081137,0.010274869413664274
35,150.16568128047643,158.2002387515275,410.5375934924223,0.5312101960160992,0.011093204887202703
36,150.46568128047647,160.43087292105236,396.98261239360903,0.5345383618344546,0.011093204887202703
37,153.96568128047647,164.0491249883136,299.16623434131105,0.5358312716074519,-0.010363004062056879
38,154.26568128047649,162.40612907139987,295.084813835688,0.5327221796007122,-0.010363004062056879
39,196.20804042045765,24.94990555781518,6.356003223555886,0.1532084531871403,-0.007732883458006002
40,196.50804042045766,24.626544360699068,6.307057353614391,0.1508884365877473,-0.007732883458006002
41,200.00804042045766,24.300238849735226,7.090777353018443,0.1322933627839935,-0.002996659902609446
42,200.3080404204577,24.565191096179728,7.2680572247100885,0.13139430596338356,-0.002996659902609446
43,242.25039956043886,148.27668920677704,300.53898958028844,0.051070112651943424,-0.0008333216831704903
44,242.55039956043885,149.78146839974042,304.55705138716786,0.050820099142916436,-0.0008333216831704903
45,246.05039956043885,146.5450161316754,402.2411962526491,0.04448636156935852,-0.0027437846635300135
46,246.35039956043892,144.51460657365374,415.83569425975537,0.04366317063221596,-0.0027437846635300135
47,278.17857075623044,16.594770764677644,3144.122749219965,-4.783371641625089e-06,-1.1929376585543597e-08
48,278.4785707562304,16.21373693143988,3181.9596796396795,-4.78632053651124e-06,-1.1929376585543597e-08
49,278.6285707562304,16.028995674993254,3200.9630105011584,-4.787795000019878e-06,-1.1929589514829269e-08
50,278.77857075623035,15.848104996618257,3220.0228900900966,-4.789269495251364e-06,-1.1929799050513738e-08
51,279.07857075623036,15.497874939446367,3258.3123798179827,-4.792218517145083e-06,-1.1929799050513738e-08
52,281.97857075623034,15.54023266011479,3036.1615197587244,-5.2674673034729345e-06,-3.239370016242612e-07
53,291.8340102257321,35.498157979939,948.4662042239642,-8.44932866243898e-06,-3.239370016242612e-07
54,294.73401022573205,35.22927876492923,739.3288340893204,-8.336430689937698e-06,3.978431528033789e-07
55,307.86446764474715,11.471701423361159,689.2185943391555,-3.0964079067898877e-06,3.978431528033789e-07
56,310.7644676447471,11.178516821762296,643.1487747266307,-2.0103671356197123e-06,3.516577518426459e-07
57,327.926636236111,44.68353280451314,258.43409555072236,4.05160814608523e-06,3.516577518426459e-07
58,330.82663623611097,52.72318236944486,224.20294275445994,4.94545944006489e-06,2.596184421124586e-07
59,337.4063786809216,66.75754635360944,182.3663822664957,6.6574128934956355e-06,2.596184421124586e-07
60,340.30637868092157,76.62304121444085,159.15579889270063,7.541855613732417e-06,3.503983286259267e-07
61,348.69341903160614,120.11875145776712,87.95130951295822,1.0491328064541953e-05,3.503983286259267e-07
62,351.5934190316061,121.81920748019614,78.31813094762839,1.0830875990728214e-05,-1.1829566780519105e-07
