NAME,INDEX,KEYWORD,S,L,X_BMAD,Z,PX,PZ,BETX_BMAD,BETY_BMAD,DX_BMAD,BETX_MADX,BETY_MADX,DX_MADX,X_MADX
QC5.1,24,Quadrupole,67.50751666504327,3.5,6.233265943413419e-10,-3.0250023545401515e-12,6.816193128090858e-11,2.771549210145656e-05,120.51898264365748,2.07823789397765,0.04908293755413778,120.69440715997325,2.051826219670626,0.04908498407462717,-2.972497854908743e-12
BC2.1,26,Sbend,68.70607308483619,0.89855641979292,7.05592031877882e-10,-3.091971123581061e-12,6.943461749408133e-11,2.7442691147359504e-05,137.54818073138267,5.391885425344782,0.055564873288440945,137.74844598427242,5.412741837523202,0.0555671532892781,-3.390445507753748e-12
QC6.1,28,Quadrupole,72.50607308483619,3.5,8.708714597562104e-10,-3.0900802217763267e-12,1.138985876727306e-11,2.744269114735948e-05,157.95359700460543,37.31491649756802,0.06859174326715657,158.18339998649571,37.909343035169805,0.06859443724029674,-4.254869180562319e-12
BC3.1,30,Sbend,113.63751008468493,40.831436999849,1.9928785843781327e-09,-6.401990049198503e-12,4.340225180494514e-11,2.3642284210750656e-05,13.985419169819796,3133.6749222779213,0.1571498102084823,13.974354389851475,3195.4938638793888,0.15715400372716132,-1.0836778455783315e-11
QC7.1,32,Quadrupole,117.43751008468493,3.5,2.3062393120881493e-09,-6.400361008367686e-12,1.3026037045923443e-10,2.3642284210750605e-05,15.43427985515371,3194.3802395609055,0.181870028308777,15.414203355999797,3257.4988712367867,0.1818745513528109,-1.2595321267715486e-11
SY1R.1,34,Sextupole,117.88751008468493,0.15,2.364855093574477e-09,-6.4001680980415226e-12,1.3026037840027916e-10,2.3642284210750605e-05,16.04727027053237,3137.943900405118,0.18649345871592957,16.025847821694608,3199.9599485283293,0.1864980588292334,-1.2920878683269612e-11
SY1R.2,36,Sextupole,118.03751008468494,0.15,2.384393688998012e-09,-6.400103794599468e-12,1.3026038647363142e-10,2.3642284210750605e-05,16.259972990521963,3119.2435838521133,0.18803460243650708,16.238101316760712,3180.8942707476385,0.18803922798666475,-1.3029397821739986e-11
BC4.1,38,Sbend,150.16568128047643,31.828171195791,6.734447078118877e-09,-1.0103917702508625e-11,1.406363882875819e-10,2.3130345419352667e-05,158.2921148580522,402.1529386012217,0.5311516913264669,158.16795975608505,410.41416793860145,0.5311620895365857,-3.717085612417523e-11
QY2.1,40,Quadrupole,153.96568128047647,3.5,6.792991178777396e-09,-1.010232393691075e-11,-1.313992435873948e-10,2.3130345419352145e-05,164.13586134451637,292.97317368093115,0.5357719923618568,164.0165378249011,299.0762911093074,0.535782473392023,-3.750754691418536e-11
BC5.1,42,Sbend,196.20804042045765,41.942359139981,1.9416636146130095e-09,-2.120259523508139e-11,-9.805923228391248e-11,1.9117164553916476e-05,24.921537865284765,6.436803789056154,0.15318816181807504,24.951202680128393,6.356913622684013,0.15319318630115056,-1.0926724903113444e-11
QY1.1,44,Quadrupole,200.0080404204577,3.5,1.676407075952032e-09,-2.1201277980954295e-11,-3.803357855120618e-11,1.9117164553916453e-05,24.268391729991706,7.262580588748888,0.1322755367354988,24.302599419773568,7.091906601477656,0.1322803433809233,-9.498206924311806e-12
BC6.1,46,Sbend,242.2503995604389,41.942359139981,6.44958336737389e-10,-2.347633198951371e-11,-1.060764419580252e-11,1.640224886927149e-05,148.212465122318,294.9744087112904,0.05106328980077499,148.28669699245273,300.45114498283493,0.05106906306265225,-4.372264375901032e-12
