NAME,INDEX,KEYWORD,S,L,X_BMAD,Z,PX,PZ,BETX_BMAD,BETY_BMAD,DX_BMAD,BETX_MADX,BETY_MADX,DX_MADX,X_MADX
IP.1,2,Marker,0.0,0.0,-7.29263401541287e-14,2.2755212805017348e-11,-7.700015369416516e-14,6.974984556939e-11,0.30000120675798,0.0010000284890912439,3.365878197605152e-09,0.30000008901357805,0.0010000003414819998,6.206323904655095e-11,0.0
QC1L1.1,4,Quadrupole,3.4002250210956806,1.2,-3.852308245475148e-13,2.275521280931793e-11,-1.6823221751456521e-13,6.974984556939e-11,50.61811465470781,8679.237003468497,-5.62357251062277e-08,50.6182779747059,8679.481374726107,1.0592103751807648e-09,0.0
QC1R2.1,6,Quadrupole,4.480225021095681,1.0,-6.242152165509088e-13,2.2755212810683884e-11,-2.9206903012815824e-13,6.974984556939e-11,141.79149571963762,7847.179328271957,-9.520886396159515e-08,141.79196458184774,7847.400242145668,1.7566887183556983e-09,0.0
QC1R3.1,8,Quadrupole,5.560225021095681,1.0,-9.28733546780379e-13,2.2755212812049824e-11,-2.688593936849825e-13,6.974984556939e-11,321.82949618680504,5181.002956727912,-1.4404865966118802e-07,321.8305698997587,5181.148785108892,2.637321383438006e-09,0.0
QC2R1.1,10,Quadrupole,7.1102250210956806,1.25,-1.2572020160263076e-12,2.2755212814010223e-11,-1.2235554954589968e-13,6.974984556939e-11,599.9119678887225,3028.7376804257533,-1.972315342272447e-07,599.9139812366338,3028.8228915723266,3.5921734135222084e-09,0.0
QC2R2.1,12,Quadrupole,8.440225021095682,1.25,-1.3242692753820086e-12,2.27552128156924e-11,3.1834360634314104e-14,6.974984556939e-11,672.5436336984413,2534.0065399116866,-2.0918477382577597e-07,672.5458987161405,2534.0777935795345,3.797947442665422e-09,0.0
PQC2RE.1,14,Marker,8.440225021095682,0.0,-1.3242692753820086e-12,2.27552128156924e-11,3.1834360634314104e-14,6.974984556939e-11,672.5436336984413,2534.0065399116866,-2.0918477382577597e-07,672.5458987161405,2534.0777935795345,3.797947442665422e-09,0.0
QT1.1,16,Quadrupole,11.00778344703248,1.0,-1.24380427389876e-12,2.275521281893984e-11,2.930145044631508e-14,6.974984556939e-11,605.6575140079661,2441.654489215294,-1.9917374803396853e-07,605.659567734381,2441.7230681023552,3.5938449840593292e-09,0.0
QC3.1,18,Quadrupole,16.07534187296928,3.5,-1.1286407069850626e-12,2.2755212825349273e-11,1.0447324131651534e-14,6.974984556939e-11,523.0859462467934,2098.686997912139,-1.8648801295946814e-07,523.0877469547004,2098.7457998377135,3.31795313836049e-09,0.0
QC4.1,20,Quadrupole,22.575409090553674,3.5,-1.0448195365275914e-12,2.2755212833570537e-11,1.9466877357997283e-14,6.974984556939e-11,480.47335312868347,1483.7298774444366,-1.8057502149070062e-07,480.4750410202965,1483.771275644767,3.1499485735907843e-09,0.0
BC1.1,22,Sbend,63.707516665043265,40.8321075744896,2.2904872443163526e-12,2.275868382639601e-11,1.4353414503372962e-13,6.974984556939e-11,109.39170765441341,7.30021315659792,0.03633826028251817,109.39218667348071,7.300280848690365,0.03633835852040334,0.0
QC5.1,24,Quadrupole,67.50751666504327,3.5,3.2198717533037924e-12,2.275868383120212e-11,3.7552235101619153e-13,6.974984556939e-11,120.69733101240806,2.051707823665149,0.04908208913432426,120.697888760024,2.0517327405056185,0.04908218856887282,0.0
BC2.1,26,Sbend,68.70607308483619,0.8985564197929239,3.673101807519924e-12,2.275835075948862e-11,3.820890072613479e-13,6.974984556939e-11,137.75175365416615,5.412107744137395,0.055564084742634134,137.75239345232026,5.41225802862075,0.05556419131156343,0.0
QC6.1,28,Quadrupole,72.50607308483619,3.5,4.6082253819600025e-12,2.275835076429472e-11,7.699436587317004e-14,6.974984556939e-11,158.1870929606178,37.904675098060196,0.0685912148076526,158.1878362745711,37.905819404611194,0.06859132992700807,0.0
BC3.1,30,Sbend,113.63751008468493,40.83143699984875,1.1371265040693856e-11,2.2737367544323206e-11,2.5301767961827445e-13,6.974984556939e-11,13.973997583197816,3195.1190704217634,0.15715397406256598,13.973976829896454,3195.2089198680196,0.15715399513446382,0.0
QC7.1,32,Quadrupole,117.43751008468493,3.5,1.3180264022094584e-11,2.273736754912897e-11,7.490669545136163e-13,6.974984556939e-11,15.413709407487545,3257.116740622522,0.18187479652591915,15.413650433297116,3257.207605080631,0.18187479073181168,0.0
SY1R.1,34,Sextupole,117.88751008468493,0.15,1.3517344151621493e-11,2.2737367549698003e-11,7.490669547730446e-13,6.974984556939e-11,16.02533021705797,3199.5844684769636,0.18649833592244958,16.025265489369747,3199.6737324548417,0.18649832911691838,0.0
SY1R.2,36,Sextupole,118.03751008468494,0.15,1.3629704194849232e-11,2.273736754988768e-11,7.490669550368218e-13,6.974984556939e-11,16.23757582381011,3180.520994486174,0.18803951572273075,16.237509161225052,3180.6097281793595,0.18803950857862062,0.0
BC4.1,38,Sbend,150.16568128047643,31.828171195791494,3.860420316748048e-11,2.2719603975929203e-11,8.059623656770349e-13,6.974984556939e-11,158.16564840350017,410.3638534037649,0.5311644969781418,158.16497013885981,410.3754260259128,0.5311644126352549,0.0
QY2.1,40,Quadrupole,153.96568128047647,3.5,3.893908524218117e-11,2.2719603980734977e-11,-7.533826543269332e-13,6.974984556939e-11,164.014326236787,299.03905762922807,0.535784943832115,164.01364586640634,299.0475355446965,0.5357848523148908,0.0
