EL. NUMBER,S,BETX_PYAT,BETY_PYAT,DX_PYAT,DY_PYAT
0,0.0,0.3000560947290515,0.0009989213624114366,-1.1667770672081759e-07,6.253195067949422e-08
1,0.0,0.3000560947290515,0.0009989213624114366,-1.1667770672081759e-07,6.253195067949422e-08
2,2.2002250210956804,16.43415607905575,4846.221680679447,2.090641145829174e-08,6.253195067949422e-08
3,3.4002250210956806,50.609995863603174,8688.860923948472,1.04388634573114e-07,8.074639422993975e-08
4,3.4802250210956807,54.602500932210305,8786.186910219596,1.1084833015269734e-07,8.074639422993975e-08
5,4.480225021095681,141.76823103177568,7855.880121193486,2.089403430669951e-07,1.194612562315643e-07
6,4.560225021095681,152.99029437353886,7623.642915383734,2.184972171389829e-07,1.194612562315643e-07
7,5.560225021095681,321.7762547515721,5186.747162209503,3.3417271247481615e-07,1.1132374954864279e-07
8,5.8602250210956806,381.72949816890343,4592.733828425381,3.6756974580104915e-07,1.1132374954864279e-07
9,7.1102250210956806,599.8121779691897,3032.095116509415,4.741408051758455e-07,5.6918832734137975e-08
10,7.1902250210956815,609.5967194919447,2975.6812063780767,4.786943002993672e-07,5.6918832734137975e-08
11,8.440225021095682,672.4314029901437,2536.8149812984925,5.13373536911616e-07,-2.1130122448737188e-09
12,8.440225021095682,672.4314029901437,2536.8149812984925,5.13373536911616e-07,-2.1130122448737188e-09
13,10.00778344703248,630.4140103232287,2483.205841326439,5.100613100048855e-07,-2.1130122448737188e-09
14,11.00778344703248,605.5558138911379,2444.3594016056154,5.084608340341699e-07,-1.0885286893708517e-09
15,12.575341872969279,569.4646938859322,2376.454165325836,5.067545404803998e-07,-1.0885286893708517e-09
16,16.07534187296928,522.9968948559557,2101.009772833979,5.174190103867002e-07,7.211401574624564e-09
17,19.075409090553674,509.9321445529621,1780.1479222906803,5.390537086980644e-07,7.211401574624564e-09
18,22.575409090553674,480.39003257516737,1485.3693477677261,5.562649662363059e-07,2.5994768283502544e-09
19,22.875409090553667,476.67922433895586,1465.16725757495,5.570448134442681e-07,2.5994768283502544e-09
20,63.707516665043265,109.36858121413148,7.304762133679232,0.03633902042962846,0.0017798934651359595
21,64.00751666504327,107.68201557786178,6.084556265223823,0.03687298846917355,0.0017798934651359595
22,67.50751666504327,120.671271409652,2.052126940070444,0.04908295657371372,0.005370611561356723
23,67.80751666504327,124.8312834107166,2.660412435280939,0.05069414004210713,0.005370611561356723
24,68.70607308483619,137.72186463674473,5.416928769982589,0.055565031909737383,0.005470982257992278
25,69.00607308483619,142.16937969382425,6.649273161098129,0.057206326587121464,0.005470982257992278
26,72.50607308483619,158.15237494458876,37.946985446900925,0.06859228605150453,0.0008996754699340246
27,72.80607308483619,156.18421018447336,42.57544963493066,0.06886218869248924,0.0008996754699340246
28,113.63751008468493,13.974947078018657,3198.661524583948,0.15715450250844978,0.003425044568277989
29,113.93751008468494,13.853413783297542,3240.4103565213636,0.1581820158789379,0.003425044568277989
30,117.43751008468494,15.416308114770558,3260.727933085284,0.18187524379250558,0.010274525637530884
31,117.73751008468494,15.820026132726245,3222.2735835876874,0.18495760148376736,0.010274525637530884
32,117.88751008468495,16.028164587791874,3203.131965853147,0.18649878032940506,0.010274525637633739
33,118.03751008468495,16.240489340249354,3184.0473861281157,0.18803995917505645,0.01027452563773775
34,118.33751008468495,16.67769773733987,3146.04934070659,0.19112231686637285,0.01027452563773775
35,150.16568128047643,158.19229886012064,410.8212688077963,0.5311646672874564,0.011092855438184371
36,150.46568128047647,160.42281337207177,397.2569158419353,0.5344925239189073,0.011092855438184371
37,153.96568128047647,164.04079371292815,299.37283863595127,0.5357850466720939,-0.010362827742079144
38,154.26568128047649,162.3978733226099,295.288583764759,0.5326761983494724,-0.010362827742079144
39,196.20804042045765,24.94797816284479,6.3513190637261125,0.15319192086836791,-0.007732676015475524
40,196.50804042045766,24.624634695548213,6.302226112445197,0.15087211806372763,-0.007732676015475524
41,200.00804042045766,24.2982826419438,7.08625427366659,0.1322786160201503,-0.002996661746575346
42,200.3080404204577,24.56320882749503,7.263731688136925,0.13137961749617652,-0.002996661746575346
43,242.25039956043886,148.26536369158504,300.74290376279714,0.051060325784560566,-0.0008333212125773815
44,242.55039956043885,149.77003696135202,304.76374773165907,0.05081032942078644,-0.0008333212125773815
45,246.05039956043885,146.5339341638434,402.5148819366935,0.0444774536651469,-0.0027435401511208563
46,246.35039956043892,144.50368728624215,416.1186760341588,0.043654391619815616,-0.0027435401511208563
47,278.17857075623044,16.593775962264434,3146.2538213042803,-2.8650121322908292e-06,2.327222918126115e-07
48,278.4785707562304,16.212770524731333,3184.1164176910593,-2.7951954393774667e-06,2.327222918126115e-07
49,278.6285707562304,16.02804284732516,3203.1326605033305,-2.760287092920749e-06,2.327222918130243e-07
50,278.77857075623035,15.847165197492604,3222.20553306152,-2.7253787464639673e-06,2.3272229181344868e-07
51,279.07857075623036,15.496959980548297,3260.5211674156694,-2.6555620535503405e-06,2.3272229181344868e-07
52,281.97857075623034,15.53933659937314,3038.221420381848,-2.2061574625213753e-06,8.191483039997508e-08
53,291.8340102257321,35.49591890149798,949.1131150974808,-1.3988505696429452e-06,8.191483039997508e-08
54,294.73401022573205,35.22698470117508,739.8347166867343,-1.0034229114003944e-06,1.8521887840921807e-07
55,307.86446764474715,11.470712004117,689.6974498095962,1.4285855685757576e-06,1.8521887840921807e-07
56,310.7644676447471,11.17751082934868,643.597115428385,2.00824907277289e-06,2.163027515309719e-07
57,327.926636236111,44.68021380401881,258.6193187616312,5.720473294035274e-06,2.163027515309719e-07
58,330.82663623611097,52.719367991355846,224.3646696764955,6.173550322717621e-06,9.462525761808125e-08
59,337.4063786809216,66.7529530568146,182.499765228973,6.796160095597109e-06,9.462525761808125e-08
60,340.30637868092157,76.61786454952068,159.27282378000456,7.199077161742539e-06,1.8410945961336207e-07
61,348.69341903160614,120.11093853612009,88.01652146136762,8.743210576052435e-06,1.8410945961336207e-07
62,351.5934190316061,121.81136088318617,78.37595784194453,8.720265480860204e-06,-1.9976694509808298e-07
63,351.8934190316061,120.39699724071083,78.45169669505526,8.66033539486795e-06,-1.9976694509808298e-07
64,380.46809250349605,30.351725495618684,96.3556235829159,0.0330277563502341,0.0023112729868036233
65,380.7680925034962,29.87535658557676,96.6558244984008,0.03372113824627317,0.0023112729868036233
66,382.5680925034962,28.41244708617502,94.46661409835633,0.03861855922129288,0.0031492694336672502
67,382.86809250349614,28.392695562383548,93.44942919449113,0.03956334005138925,0.0031492694336672502
68,392.3006242177746,31.007452361732746,65.25256031076356,0.06926892393728258,0.003149269449810135
69,392.6006242177747,31.193527639011855,64.47615237627899,0.07021370477222219,0.003149269449810135
70,394.4006242177747,30.897745642622933,63.040662694220266,0.0741192852886552,0.0011724927244622914
71,394.7006242177746,30.615098886044844,63.32880965056278,0.07447103310599279,0.0011724927244622914
72,403.17833528765874,25.584271073105445,72.92093775936418,0.08443004758141161,0.0011769656124248503
73,403.47833528765887,25.510866925983272,73.31166235429757,0.08478313726513824,0.0011769656124248503
74,405.2783352876589,26.937571642151557,70.86123361542167,0.08975744618984263,0.004380612847672463
75,422.688190002552,80.10729826087379,22.872059183644048,0.16602327942972248,0.004380612847672463
76,422.688190002552,80.10729826087379,22.872059183644048,0.16602327942972248,0.004380612847672463
77,422.988190002552,81.39002517615945,22.41558840749222,0.16733746328401924,0.004380612847672463
78,424.388190002552,87.54027383206568,20.45134347167528,0.1734703212707298,0.004380612847661476
79,424.488190002552,87.98992539895237,20.321499422870577,0.17390838255549443,0.004380612847661476
80,425.888190002552,94.42992061587017,18.650110992156584,0.18004124054218962,0.0043806128476496665
81,426.188190002552,95.84510310190403,18.32751747548038,0.18135542439647975,0.0043806128476496665
82,429.088190002552,95.84437868485644,18.324562757189973,0.1809869935099431,-0.004631677715629131
83,429.388190002552,94.42905461442919,18.646511671743223,0.17959749019525995,-0.004631677715629131
84,452.89329081955424,22.145856731109244,82.85884516914908,0.09806853049136248,-0.00230544827868199
85,456.3932908195543,17.904320529392226,99.00609160276007,0.08999946151604307,-0.00230544827868199
86,458.1932908195543,17.9049211567084,99.01012372538098,0.08977513121032778,0.0020543683299014165
87,458.49329081955426,18.20244866180949,97.56047803534386,0.09039144170930119,0.0020543683299014165
88,481.9983916365565,80.13119404747151,22.90653965658055,0.1660187679996943,0.004380600213670679
89,485.4983916365565,95.8758418526347,18.36571906064654,0.18135086874757952,0.004380600213670679
90,488.3983916365565,95.87658060868507,18.368673951587514,0.1809827229332282,-0.004631470821046998
91,488.6983916365565,94.46092843439548,18.691746299753326,0.17959328168691507,-0.004631470821046998
92,512.2034924535587,22.154196256846078,82.95888526375666,0.09806918506767055,-0.002305241383690752
93,515.7034924535587,17.909522747339683,99.10868159852268,0.09000084022476706,-0.002305241383690752
94,517.5034924535587,17.908923585031655,99.1046495210477,0.08977694888324303,0.0020546527421742653
95,517.8034924535585,18.206301757523043,97.65225315589835,0.0903933447058998,0.0020546527421742653
96,541.3085932705608,80.1072976821283,22.872060338126932,0.1660273561243976,0.004380884624735863
97,541.6085932705607,81.39002459261388,22.415589515683195,0.16734162151182316,0.004380884624735863
98,543.0085932705607,87.5402732262942,20.45134436788503,0.17347485998648363,0.004380884624745789
99,543.1085932705607,87.98992479160422,20.32150030419394,0.17391294844895996,0.004380884624745789
100,544.5085932705607,94.42991998660231,18.65011166864233,0.18004618692363544,0.0043808846247565085
101,544.8085932705608,95.84510246797657,18.327518108939724,0.18136045231106787,0.0043808846247565085
102,547.7085932705608,95.84437809683418,18.324563045349997,0.1809924368796761,-0.0046316663834840704
103,548.0085932705607,94.42905404003908,18.646511927598937,0.17960293696462543,-0.0046316663834840704
104,571.513694087563,22.145856830221593,82.85884057093769,0.09807424360807875,-0.002305436947821577
105,571.8136940875629,21.716056335803017,84.17599962045001,0.0973826125237269,-0.002305436947821577
106,573.2136940875629,19.874541318545383,90.48857467142254,0.09415500079671256,-0.002305436947872521
107,573.3136940875629,19.753354570885943,90.94992453766318,0.09392445710192317,-0.002305436947872521
108,574.7136940875629,18.201640653680087,97.55514574142785,0.09069684537483991,-0.0023054369479145647
109,575.0136940875628,17.904320662142315,99.00608588935958,0.09000521429045856,-0.0023054369479145647
110,576.8136940875628,17.904921312750954,99.0101179216952,0.08978115950227607,0.002054665370056349
111,577.1136940875627,18.20244882369311,97.56047230224306,0.09039755911328827,0.002054665370056349
112,600.618794904565,80.13119462620135,22.90653850209414,0.16603186733901787,0.004380897251613513
113,604.118794904565,95.8758424865419,18.365718427165223,0.1813650077196133,0.004380897251613513
114,607.018794904565,95.87658119668609,18.36867366338393,0.18099670721279154,-0.004631873273151055
115,607.3187949045649,94.46092900876505,18.691746043850873,0.17960714523084567,-0.004631873273151055
116,630.8238957215672,22.15419615772832,82.95888986143528,0.09807358890520325,-0.0023056438378976263
117,634.3238957215672,17.909522614586308,99.10868731128149,0.09000383547255507,-0.0023056438378976263
118,636.1238957215671,17.90892342898655,99.10465532409683,0.08977934172450056,0.0020543809576009067
119,636.423895721567,18.206301595636955,97.65225888837276,0.09039565601177481,0.0020543809576009067
120,659.9289965385692,80.10729710341218,22.872061492503647,0.1660232791051613,0.004380612840365763
121,663.4289965385692,95.84510183408696,18.32751874234037,0.1813554240463772,0.004380612840365763
122,666.3289965385692,95.84437750885157,18.3245633334768,0.18098699316387643,-0.00463167770559762
123,666.6289965385691,94.42905346568794,18.64651218342342,0.1795974898522044,-0.00463167770559762
124,690.1340973555714,22.145856929344262,82.85883597284534,0.09806853038421187,-0.0023054482686504277
125,690.4340973555713,21.71605643848552,84.17599493075711,0.09737689590362407,-0.0023054482686504277
126,691.8340973555713,19.874541436162193,90.48856954438291,0.0941492683275942,-0.0023054482685821603
127,691.9340973555713,19.753354689463716,90.94991937876192,0.09391872350073807,-0.0023054482685821603
128,693.3340973555713,18.20164078423056,97.55514012774316,0.09069109592479313,-0.00230544826852354
129,693.6340973555714,17.904320794898624,99.00608017610375,0.08999946144424154,-0.00230544826852354
130,695.4340973555713,17.904921468798335,99.01011211814345,0.08977513115389829,0.00205436833695007
131,695.7340973555712,18.202448985581274,97.56046656927298,0.0903914416549856,0.00205436833695007
132,719.2391981725734,80.13119520490385,22.906537347562825,0.1660187681110216,0.004380600220719326
133,719.2391981725734,80.13119520490385,22.906537347562825,0.1660187681110216,0.004380600220719326
